question,answer,comment,instruction
"力
sample words:
手力
力合わせ
力無い",ちから,"力:strength, energy, force, might, power; agency; au....
手力(たぢから):arm strength
力合わせ(ちからあわせ):test of strength
力無い(ちからない):feeble",Jouyou. JLPT : N4
"口
sample words:
口づけ
口づける
口に掛ける",くち,"口:mouth, lips; speech, words; one's taste, stopper,....
口づけ(くちづけ):kiss
口づける(くちづける):to kiss
口に掛ける(くちにかける):to say (something)",Jouyou. JLPT : N4
"夕
sample words:
夕餉
夕座
夕映え",ゆう,"夕:evening
夕餉(ゆうげ):supper; evening meal; dinner
夕座(ゆうざ):evening service
夕映え(ゆうばえ):sunset glow",Jouyou. JLPT : N4
"字
sample words:
大字
大字片山
小字",あざ,"字:section of a village
大字(おおあざ):larger section (of village)
大字片山(おおあざかたやま):name of a town section
小字(こあざ):small administrative unit (of a village)",Jouyou. JLPT : N4
"手
sample words:
手こぎぼと
手手
手羽",て,"手:hand, arm; help; handwriting; handle, means; tric...
手こぎぼと(てこぎぼと):rowboat
手手(てて):hand; hands
手羽(てば):chicken wing",Jouyou. JLPT : N4
"文
sample words:
日文
文読む月日
真名文",ふみ,"文:letter, note
日文(ひふみ):Hifumi (script)
文読む月日(ふみよむつきひ):A Calendar of Wisdom (book by Tolstoi)
真名文(まなぶみ):writing entirely in kanji",Jouyou. JLPT : N4
"早
sample words:
けんか早い
早起き
早く言えば",はや,"早:quick, fast, speedy; brisk, prompt; early; premat..
けんか早い(けんかばやい):quarrelsome; easy to anger
早起き(はやおき):early rising
早く言えば(はやくいえば):to put it briefly; in a word; to make a long stor.",Jouyou. JLPT : N4
"犬
sample words:
犬派
子犬
抱き犬",いぬ,"犬:dog, spy
犬派(いぬは):dog person
子犬(こいぬ):puppy; small dog
抱き犬(だきいぬ):lapdog",Jouyou. JLPT : N4
"田
sample words:
田鶴
田鶴
田を打つ",た,"田:rice field, paddy field
田鶴(たず):crane (bird)
田鶴(たづ):crane (bird)
田を打つ(たをうつ):to till a rice paddy; to plough a rice paddy (plo.",Jouyou. JLPT : N4
"町
sample words:
古町
眠らない町
町駕篭",まち,"町:town; quarters; street
古町(こまち):old town
眠らない町(ねむらないまち):city that never sleeps
町駕篭(まちかご):palanquin",Jouyou. JLPT : N4
"目
sample words:
お目目
目がける
目が見える",め,"目:eye; look, gaze; notice, attention; viewpoint; di....
お目目(おめめ):eyes
目がける(めがける):to aim at
目が見える(めがみえる):to be able to see",Jouyou. JLPT : N4
"空
sample words:
空で言う
空解け
空飛ぶ",そら,"空:become empty, be less crowded; empty; sky, heaven.
空で言う(そらでいう):to speak from memory
空解け(そらどけ):coming untied
空飛ぶ(そらとぶ):to fly in the sky",Jouyou. JLPT : N4
"空
sample words:
空売り
空荷
空ふかし",から,"空:become empty, be less crowded; empty; sky, heaven.
空売り(からうり):short selling
空荷(からに):in ballast; lacking cargo
空ふかし(からふかし):idling (of an engine)",Jouyou. JLPT : N4
"耳
sample words:
ぱんの耳
ぴざの耳
耳たぶ",みみ,"耳:ear; edge, border; loop; selvage; bread crusts
ぱんの耳(ぱんのみみ):bread crust
ぴざの耳(ぴざのみみ):pizza crust
耳たぶ(みみたぶ):earlobe",Jouyou. JLPT : N4
"花
sample words:
花あななす
花きゃべつ
花咲く",はな,"花:flower, blossom; cherry blossoms; essence, spirit..
花あななす(はなあななす):pink quill (Tillandsia cyanea)
花きゃべつ(はなきゃべつ):cauliflower
花咲く(はなさく):to bloom",Jouyou. JLPT : N4
"赤
sample words:
赤きゃべつ
赤啄木鳥
赤子",あか,"赤:red, crimson, scarlet, Communist, Red. become red.
赤きゃべつ(あかきゃべつ):red cabbage
赤啄木鳥(あかげら):great spotted woodpecker (Dendrocopos major)
赤子(あかご):baby",Jouyou. JLPT : N4
"足
sample words:
足こき
足を止める
小足",あし,"足:foot; leg; paw; flipper, tentacles, arms; walk, s......
足こき(あしこき):footjob
足を止める(あしをとめる):to stop walking; to pause
小足(こあし):mincing steps",Jouyou. JLPT : N4
