question,answer,comment,instruction
"玉
sample words:
しゃぼん玉
玉菜
玉藻",たま,"玉:ball, bowl, sphere, bulb; lens; gem, jewel, bulle..
しゃぼん玉(しゃぼんだま):soap bubble
玉菜(たまな):cabbage
玉藻(たまも):seaweed",Jouyou. JLPT : N2
"竹
sample words:
竹馬に乗る
竹切れ
竹簀",たけ,"竹:bamboo; bamboo wind instrument
竹馬に乗る(たけうまにのる):to walk on stilts
竹切れ(たけぎれ):bamboo chip
竹簀(たけす):bamboo screen or blind",Jouyou. JLPT : N2
"糸
sample words:
亜麻糸
糸屋
織り糸",いと,"糸:thread, yarn; gut; string (of a violin); (fish) l.
亜麻糸(あまいと):flax yarn
糸屋(いとや):yarn seller
織り糸(おりいと):strand",Jouyou. JLPT : N2
"虫
sample words:
でで虫
でんでん虫
虫気",むし,"虫:worm, vermin, bug, insect; temper; nervousness, p.
でで虫(ででむし):snail
でんでん虫(でんでんむし):snail
虫気(むしけ):nervous weakness",Jouyou. JLPT : N2
"貝
sample words:
貝ぼたん
胡麻斑玉貝
稚貝",かい,"貝:shell, shellfish
貝ぼたん(かいぼたん):mother-of-pearl button
胡麻斑玉貝(ごまふたまがい):tiger moon shell (Natica tigrina)
稚貝(ちがい):shellfish fry",Jouyou. JLPT : N2
"丸
sample words:
でたの丸め
丸木
丸ぺん",まる,"丸:full (month); perfection; purity; the ship-name s....
でたの丸め(でたのまるめ):data rounding
丸木(まるき):log
丸ぺん(まるぺん):mapping pen",Jouyou. JLPT : N2
"公
sample words:
公所
公にする
公の施設",おおやけ,"公:public, open; official, governmental; formal
公所(おおやけどころ):imperial court; government office; government lan.
公にする(おおやけにする):to make public
公の施設(おおやけのしせつ):public facility",Jouyou. JLPT : N2
"寺
sample words:
御寺
お寺さん
寺から里へ",てら,"寺:temple
御寺(おてら):temple; monk
お寺さん(おてらさん):monk
寺から里へ(てらからさとへ):putting the cart before the horse",Jouyou. JLPT : N2
"戸
sample words:
井戸
江戸語
がらす戸",と,"戸:door
井戸(いど):water well
江戸語(えどご):Edo dialect
がらす戸(がらすど):glass door",Jouyou. JLPT : N2
"星
sample words:
図星
星を落とす
目星",ほし,"星:star; spot, dot, mark; bull's eye; one's fortune;.
図星(ずぼし):bull's-eye; the mark
星を落とす(ほしをおとす):to lose
目星(めぼし):aim; objective; mark",Jouyou. JLPT : N2
"毛
sample words:
毛だらけ
毛の生えた
毛ばたき",け,"毛:hair, fur, feather, down
毛だらけ(けだらけ):hairy; furry
毛の生えた(けのはえた):a bit better than; not much more than; not much d.
毛ばたき(けばたき):feather duster",Jouyou. JLPT : N2
"岩
sample words:
赤足岩鷓鴣
岩根
岩間",いわ,"岩:rock, crag; reef
赤足岩鷓鴣(あかあしいわしゃこ):red-legged partridge (Alectoris rufa)
岩根(いわね):rock
岩間(いわま):among rocks",Jouyou. JLPT : N2
"羽
sample words:
一羽
音羽屋
柏崎刈羽",わ,"羽:feather; plumage, wing; blade, paddle, fan
一羽(いちわ):one (bird)
音羽屋(おとわや):Otowaya (stage name of a kabuki family)
柏崎刈羽(かしさきかりわ):Kashiwazaki Kariwa",Jouyou. JLPT : N2
"羽
sample words:
尾羽
毛羽だつ
手羽",は,"羽:feather; plumage, wing; blade, paddle, fan
尾羽(おは):tail and feathers
毛羽だつ(けばだつ):to become fluffy
手羽(てば):chicken wing",Jouyou. JLPT : N2
"角
sample words:
枝角
角書き
角胡麻",つの,"角:corner, angle; edge; angularity; harshness; horn,.
枝角(えだつの):antler
角書き(つのがき):two-line subtitle
角胡麻(つのごま):unicorn-plant (Proboscidea louisianica); devil's .",Jouyou. JLPT : N2
"角
sample words:
角が取れる
角地
角っこ",かど,"角:corner, angle; edge; angularity; harshness; horn,.
角が取れる(かどがとれる):to become softened by maturity; to mellow
角地(かどち):corner lot
角っこ(かどっこ):edge; corner",Jouyou. JLPT : N2
"谷
sample words:
気圧の谷
死の谷
真宗大谷派",たに,"谷:valley, dale, ravine; trough (of a wave); trough .
気圧の谷(きあつのたに):low pressure trough
死の谷(しのたに):valley of death (barrier between product developm.
真宗大谷派(しんしゅうおおたには):Otani sect of Shinshu",Jouyou. JLPT : N2
"雲
sample words:
おるとの雲
かなとこ雲
雲子",くも,"雲:cloud
おるとの雲(おるとのくも):Oort cloud
かなとこ雲(かなとこぐも):anvil cloud
雲子(くもこ):cod roe; cod milt",Jouyou. JLPT : N2
"麦
sample words:
押し割り麦
おと麦
小麦",むぎ,"麦:wheat, barley, oats, rye
押し割り麦(おしわりむぎ):pressed barley
おと麦(おとむぎ):oats
小麦(こむぎ):wheat",Jouyou. JLPT : N2
"坂
sample words:
坂田鮫
坂豚
坂道",さか,"坂:incline, slope, hill
坂田鮫(さかたざめ):yellow guitarfish (Rhinobatos schlegelii)
坂豚(さかぶた):soccer fan
坂道(さかみち):hill road",Jouyou. JLPT : N2
"岸
sample words:
彼の岸
岸辺",きし,"岸:bank, shore, coast, brink
彼の岸(かのきし):nirvana
岸辺(きしべ):bank (of a body of water); shore",Jouyou. JLPT : N2
"島
sample words:
島土禰利古
千島
八島",しま,"島:island
島土禰利古(しまとねりこ):Himalayan ash (Fraxinus griffithii); Griffith's a.
千島(ちしま):Kurile Islands
八島(やしま):Japan",Jouyou. JLPT : N2
"庫
sample words:
庫入れ
庫出し",くら,"庫:storehouse
庫入れ(くらいれ):storing in a warehouse; warehousing
庫出し(くらだし):delivery (of goods from a storehouse); releasing .",Jouyou. JLPT : N2
"板
sample words:
板子
板さん
板戸",いた,"板:board, plank; planking; plate, sheet; the stage
板子(いたご):ship plank
板さん(いたさん):cook
板戸(いたど):wooden door",Jouyou. JLPT : N2
"柱
sample words:
天の御柱
茶柱が立つ
継ぎ柱",はしら,"柱:pillar, column, post, pole; support, prop, stay; .
天の御柱(あまのみはしら):Ama no Mihashira; the heavenly pillar on Onokoro ..
茶柱が立つ(ちゃばしらがたつ):a tea stalk floats upright in one's cup (consider.
継ぎ柱(つぎばしら):spliced pole (building, electrical)",Jouyou. JLPT : N2
"根
sample words:
刈り根
根っ木打ち
根を下ろす",ね,"根:root; base (of a hill); head (of a boil); origin;.
刈り根(かりね):stubble
根っ木打ち(ねっきうち):children's game in which a wooden stick driven in.
根を下ろす(ねをおろす):to take root",Jouyou. JLPT : N2
"橋
sample words:
石橋美術館
木橋
土橋",はし,"橋:bridge
石橋美術館(いしばしびじゅつかん):Ishibashi Museum of Art
木橋(きばし):wooden bridge
土橋(どばし):earthen bridge",Jouyou. JLPT : N2
"氷
sample words:
魚氷に上る
角氷
氷あんか",こおり,"氷:ice; shaved ice. hail
魚氷に上る(うおこおりにのぼる):third climate of spring (when the ice breaks and .
角氷(かくごおり):ice cube
氷あんか(こおりあんか):ice anchor",Jouyou. JLPT : N2
"油
sample words:
油画
油さし
油ぺいんと",あぶら,"油:oil
油画(あぶらえ):oil painting
油さし(あぶらさし):oilcan
油ぺいんと(あぶらぺいんと):oil paint",Jouyou. JLPT : N2
"波
sample words:
入り波
津波
波路",なみ,"波:wave, billows
入り波(いりなみ):incoming wave
津波(つなみ):tsunami; tidal wave
波路(なみじ):sea route",Jouyou. JLPT : N2
"湖
sample words:
白鳥の湖",みずうみ,"湖:lake
白鳥の湖(はくちょうのみずうみ):Swan Lake (ballet)",Jouyou. JLPT : N2
"湯
sample words:
御湯
湯水のように
微温湯につかる",ゆ,"湯:hot water, hot bath, hot spring
御湯(おゆ):hot water; hot bath
湯水のように(ゆみずのように):like water; like it grows on trees
微温湯につかる(ぬるまゆにつかる):to be relaxed; to be comfortable; to be easy; to .",Jouyou. JLPT : N2
"炭
sample words:
活け炭
木炭
炭火",すみ,"炭:charcoal
活け炭(いけずみ):banked fire; live charcoal banked up and covered .
木炭(きずみ):charcoal
炭火(すみび):charcoal fire",Jouyou. JLPT : N2
"皮
sample words:
皮具
背皮
ぱい皮",かわ,"皮:skin; hide; leather; fur, pelt; bark; peeling, hu.
皮具(かわぐ):leather goods
背皮(せがわ):back of a leatherbound book
ぱい皮(ぱいがわ):pie crust",Jouyou. JLPT : N2
"皿
sample words:
受皿となる
お皿
菓子皿",さら,"皿:dish; a helping; a course
受皿となる(うけざらとなる):to host; to act as a receptacle; to take on; to r.
お皿(おさら):dish; plate
菓子皿(かしざら):cake dish",Jouyou. JLPT : N2
"祭
sample words:
夜祭
だんじり祭り",まつり,"祭:offer prayers; celebrate; deify; enshrine; worshi.
夜祭(よまつり):night festival
だんじり祭り(だんじりまつり):cart-pulling festival; danjiri festival",Jouyou. JLPT : N2
"筆
sample words:
絵筆
筆付き
筆に任せる",ふで,"筆:writing brush, paintbrush; writing, drawing, pain..
絵筆(えふで):paintbrush
筆付き(ふでつき):brushwork
筆に任せる(ふでにまかせる):to write freely; to let one's pen wander",Jouyou. JLPT : N2
"緑
sample words:
黄緑
濃緑
緑がかった",みどり,"緑:green, verdure
黄緑(きみどり):yellow-green; pea green
濃緑(こみどり):dark green; deep green
緑がかった(みどりがかった):tinged with green; greenish",Jouyou. JLPT : N2
"荷
sample words:
浮き荷
駄荷
荷揚げ場",に,"荷:load, baggage, freight, cargo; burden
浮き荷(うきに):flotsam
駄荷(だに):horse's load
荷揚げ場(にあげば):landing place",Jouyou. JLPT : N2
"血
sample words:
生き血
黄血
血が止まる",ち,"血:blood, consanguinity
生き血(いきち):lifeblood
黄血(きぢ):brandling (when used as fishing bait)
血が止まる(ちがとまる):to stop bleeding",Jouyou. JLPT : N2
"鼻
sample words:
鼻血
鼻ぺちゃ
鼻輪",はな,"鼻:nose; snout, muzzle
鼻血(はなじ):nosebleed
鼻ぺちゃ(はなぺちゃ):small, flat nose
鼻輪(はなわ):nose ring",Jouyou. JLPT : N2
"仲
sample words:
いい仲
仲仕
仲値",なか,"仲:relation, relationship
いい仲(いいなか):love for one another
仲仕(なかし):longshoreman; baggageman
仲値(なかね):medium or average price",Jouyou. JLPT : N2
"児
sample words:
江戸っ児
鹿児島県警
鹿児島大学",こ,"児:child
江戸っ児(えどっこ):Edoite; (true) Tokyoite; Tokyo native
鹿児島県警(かごしまけんけい):Kagoshima Prefectural Police (abbr)
鹿児島大学(かごしまだいがく):Kagoshima University",Jouyou. JLPT : N2
"印
sample words:
感謝の印
き印
下矢印き",しるし,"印:sign, mark; symbol, emblem; badge; evidence; souv..
感謝の印(かんしゃのしるし):token of appreciation
き印(きじるし):madman; madness
下矢印き(したやじるしき):down arrow key",Jouyou. JLPT : N2
"各
sample words:
各方",おのおの,"各:each, every, either, respectively
各方(おのおのがた):all of you (pronoun)",Jouyou. JLPT : N2
"型
sample words:
埋込型
不知火型
日本型",がた,"型:model, mold, matrix, impression; style, type, pat.
埋込型(うめこみがた):flush mount (fan, etc.); embedded style
不知火型(しらぬいがた):Shiranui style of grand champion's ring-entering .
日本型(にほんがた):Japanese model; Japanese way; Japanese style",Jouyou. JLPT : N2
"型
sample words:
鋳型
えす字型
お型",かた,"型:model, mold, matrix, impression; style, type, pat.
鋳型(いがた):template; mold; mould
えす字型(えすじがた):S-shape
お型(おがた):type O (blood, etc.)",Jouyou. JLPT : N2
"塩
sample words:
塩気
塩っ気
塩に漬ける",しお,"塩:salt, seasoning
塩気(しおけ):saltiness
塩っ気(しおっけ):saltiness
塩に漬ける(しおにつける):to preserve in salt",Jouyou. JLPT : N2
"孫
sample words:
お孫さん
曽孫
孫さん",まご,"孫:grandchild
お孫さん(おまごさん):grandchild
曽孫(ひまご):great-grandchild
孫さん(まごさん):grandchild",Jouyou. JLPT : N2
"希
sample words:
極希
類希",まれ,"希:Greece
極希(ごくまれ):extremely rare
類希(たぐいまれ):exceptional; incomparable; rare; matchless; uniqu.",Jouyou. JLPT : N2
"帯
sample words:
帯揚げ
帯ぐらふ
帯地",おび,"帯:belt, sash, girdle, band; belting. wear (at the b...
帯揚げ(おびあげ):obi sash
帯ぐらふ(おびぐらふ):bar graph; rectangular graph
帯地(おびじ):obi cloth or material",Jouyou. JLPT : N2
"底
sample words:
底打ち
底が割れる
底知れない",そこ,"底:bottom; sole; depth, bowels (of the earth); botto.
底打ち(そこうち):bottoming out
底が割れる(そこがわれる):to come to light; to be revealed; to be exposed; .
底知れない(そこしれない):immeasurable; bottomless; unlimited; inexhaustibl.",Jouyou. JLPT : N2
"札
sample words:
木札
下げ札
手札代り",ふだ,"札:tag, placard; name plate; check; charm, (playing).
木札(きふだ):wooden tag
下げ札(さげふだ):tag; label
手札代り(てふだがわり):giving a gift",Jouyou. JLPT : N2
"案
sample words:
八脚の案",つくえ,"案:proposition, suggestion, plan, idea; opinion; exp.
八脚の案(やつあしのつくえ):eight-legged table (used as a stand for religious.",Jouyou. JLPT : N2
"標
sample words:
道標
目標",しるし,"標:signpost; mark; target; designate
道標(みちじるし):guidepost; signpost
目標(めじるし):landmark; guide; mark (for quick identification o.",Jouyou. JLPT : N2
"灯
sample words:
灯りを消す
月灯かり",あかり,"灯:a light
灯りを消す(あかりをけす):to turn the lights off
月灯かり(つきあかり):moonlight",Jouyou. JLPT : N2
"灯
sample words:
灯明り
灯涼し
灯点し頃",ひ,"灯:a light
灯明り(ひあかり):lamplight; torchlight
灯涼し(ひすずし):coolness of distant twinkling lights (on a summer.
灯点し頃(ひともしごろ):lamp-lighting time; early evening; dusk; lighting.",Jouyou. JLPT : N2
"節
sample words:
小節
節織り
節付け",ふし,"節:joint, knuckle; knob, lump, knot; tune, melody; p.
小節(こぶし):undulating melodic ornamentation or embellishment..
節織り(ふしおり):made of knotted silk
節付け(ふしづけ):composition; setting to music",Jouyou. JLPT : N2
"管
sample words:
管狐
管水母
管継手",くだ,"管:pipe, tube; drunken talk
管狐(くだぎつね):pipe fox; fox-like spirit kept inside a bamboo tu..
管水母(くだくらげ):siphonophore
管継手(くだつぎて):pipe joint",Jouyou. JLPT : N2
"粉
sample words:
粉茶
粉ふるい
粉みそ",こな,"粉:flour, meal, powder
粉茶(こなちゃ):powdered (green) tea
粉ふるい(こなふるい):flour sifter
粉みそ(こなみそ):powdered miso",Jouyou. JLPT : N2
"粉
sample words:
金粉
粉糠
擂り粉木",こ,"粉:flour, meal, powder
金粉(きんこ):gold dust
粉糠(こぬか):rice bran
擂り粉木(すりこぎ):pestle",Jouyou. JLPT : N2
"衣
sample words:
天の羽衣
毛衣
衣手",ころも,"衣:clothes, robe; dressing; frosting; coating
天の羽衣(あまのはごろも):angel's feathered robe
毛衣(けごろも):clothes made with the down of birds; fur coat (to.
衣手(ころもで):sleeve",Jouyou. JLPT : N2
"軍
sample words:
軍場
勝ち軍
夜軍",いくさ,"軍:army, force, troops
軍場(いくさば):battlefield; battleground
勝ち軍(かちいくさ):winning a battle; victorious battle; victory
夜軍(よいくさ):night battle",Jouyou. JLPT : N2
"輪
sample words:
知恵の輪
輪差
輪奈",わ,"輪:circle, ring, link, wheel, hoop, loop
知恵の輪(ちえのわ):wire puzzle; disentanglement puzzle
輪差(わさ):loop; snare
輪奈(わな):loop (of thread, string, etc.)",Jouyou. JLPT : N2
"陸
sample words:
陸っ張り
陸湯
陸蓮根",おか,"陸:land
陸っ張り(おかっぱり):bank fishing; shore fishing
陸湯(おかゆ):hot water used for cleaning up
陸蓮根(おかれんこん):okra (Abelmoschus esculentus)",Jouyou. JLPT : N2
"仏
sample words:
あが仏
吾が仏尊し
神様仏様",ほとけ,"仏:Buddha; merciful person; Buddhist image; the dead
あが仏(あがほとけ):my dear; my Buddha
吾が仏尊し(あがほとけとうとし):being narrow-minded; putting one's own beliefs on.
神様仏様(かみさまほとけさま):Gods and Buddhas; God and Buddha; one's guardian .",Jouyou. JLPT : N2
"仮
sample words:
仮埋め
仮刷り
仮ぽいんた",かり,"仮:tempory, provisional; informal, unauthorized; fle...
仮埋め(かりうめ):temporary burial
仮刷り(かりずり):proof printing
仮ぽいんた(かりぽいんた):dummy pointer",Jouyou. JLPT : N2
"価
sample words:
価する
価千金",あたい,"価:price, cost, value, worth
価する(あたいする):to deserve; to be worth; to be worthy of; to meri.
価千金(あたいせんきん):invaluable; priceless",Jouyou. JLPT : N2
"勢
sample words:
勢い込む
騎虎の勢い
勢いを振るう",いきおい,"勢:force, vigor, energy, spirit, life; authority, in..
勢い込む(いきおいこむ):to do with enthusiasm; to be excited to do; to th.
騎虎の勢い(きこのいきおい):having no choice but to carry on; having no choic...
勢いを振るう(いきおいをふるう):to exercise authority; to wield power",Jouyou. JLPT : N2
"基
sample words:
に基づいて
に基づき
基く",もと,"基:basis, foundation, origin
に基づいて(にもとづいて):based on; on the basis of
に基づき(にもとづき):based on
基く(もとづく):to be founded (on); to arise (from); to come (fro...",Jouyou. JLPT : N2
"布
sample words:
亜麻布
布お襁褓
布地",ぬの,"布:cloth
亜麻布(あまぬの):linen
布お襁褓(ぬのおむつ):cloth diaper; cloth nappy
布地(ぬのじ):fabric; cloth",Jouyou. JLPT : N2
"復
sample words:
復復",また,"復:return to, revert to, be restored to, resume (one.
復復(またまた):(there you go) again; yet again; once again",Jouyou. JLPT : N2
"志
sample words:
お志
志半ば
事志と違う",こころざし,"志:plan, intend, aim at, aspire to, resolve, determi...
お志(おこころざし):courtesy; kindness
志半ば(こころざしなかば):being unable to achieve one's goal; leaving one's..
事志と違う(ことこころざしとたがう):to not turn out as one wishes; to not go as one e.",Jouyou. JLPT : N2
"技
sample words:
手練の早技
手技
引き技",わざ,"技:deed, act, work, art, trick, performance
手練の早技(しゅれんのはやわざ):dexterous feat; speed and precision of a trained .
手技(てわざ):hand throwing technique (judo); handwork; handcra.
引き技(ひきわざ):pulling techniques",Jouyou. JLPT : N2
"条
sample words:
青条
条蝦
血条苔",すじ,"条:article, clause, item; line, stripe, streak; colu.
青条(あおすじ):bulging veins (esp. in the head); vein (visible u.
条蝦(すじえび):lake prawn (Palaemon paucidens)
血条苔(ちすじのり):Thorea okadae (species of red alga)",Jouyou. JLPT : N2
"枝
sample words:
枝切り
枝毛
枝つき燭台",えだ,"枝:branch, bow, twig, limb
枝切り(えだきり):pruning
枝毛(えだげ):split end of hair
枝つき燭台(えだつきしょくだい):candelabra; candelabrum; girandole",Jouyou. JLPT : N2
"河
sample words:
河沿い
河田
河津掛け",かわ,"河:river, stream
河沿い(かわぞい):riverside; along the river
河田(かわた):eta; lowly people (Edo period)
河津掛け(かわづがけ):one-leg entanglement (judo); hooking backward cou.",Jouyou. JLPT : N2
"綿
sample words:
引き綿
真綿
綿毛",わた,"綿:cotton, cotton wool
引き綿(ひきわた):floss silk
真綿(まわた):silk floss; silk wadding
綿毛(わたげ):fluff; down; fuzz",Jouyou. JLPT : N2
"総
sample words:
赤総
総総
総楊枝",ふさ,"総:whole, all, general, gross, total, full
赤総(あかぶさ):red tassel hung above the southeast corner of the.
総総(ふさふさ):thick; in tufts; bushy; tufty; luxuriant
総楊枝(ふさようじ):toothbrush made from a piece of willow frayed at .",Jouyou. JLPT : N2
"豊
sample words:
心豊か
風味豊か
緑豊か",ゆたか,"豊:abundant, rich, fruitful
心豊か(こころゆたか):good for the soul; spiritually rich
風味豊か(ふうみゆたか):flavorsome; flavorful
緑豊か(みどりゆたか):lushly green; verdant",Jouyou. JLPT : N2
"領
sample words:
領脚
盤領",えり,"領:dominion, territory possession, fief; suit (of ar.
領脚(えりあし):hairline at the nape of the neck; nape
盤領(まるえり):round collar (of traditional Japanese clothing)",Jouyou. JLPT : N2
