question,answer,comment,instruction
"村
sample words:
帰村
市区町村
市区町村名",そん,"村:village, hamlet
帰村(きそん):returning to one's village
市区町村(しくちょうそん):municipalities; local governments
市区町村名(しくちょうそんめい):name of a city, ward, town or village",Jouyou. JLPT : N3
"王
sample words:
王家
王手
王のように",おう,"王:king, rule, magnate, baron
王家(おうけ):royal family
王手(おうて):check
王のように(おうのように):like a lord",Jouyou. JLPT : N3
"石
sample words:
一石
石高
造石税",こく,"石:stone, pebble, rock; jewel; the go playing stones
一石(いっこく):one koku (measure)
石高(こくだか):salary; (crop) yield; stipend (orig. assessed on .
造石税(ぞうこくぜい):brewing tax",Jouyou. JLPT : N3
"内
sample words:
機内誌
内果皮
内破",ない,"内:inside, interior; house, home; within; between, a.
機内誌(きないし):in-flight magazine
内果皮(ないかひ):endocarp
内破(ないは):implosion",Jouyou. JLPT : N3
"合
sample words:
家事都合
合字
合とれ",ごう,"合:fit, suit; agree with, match, be correct; pay, be...
家事都合(かじつごう):family reasons; personal reasons
合字(ごうじ):ligature
合とれ(ごうとれ):working out together",Jouyou. JLPT : N3
"回
sample words:
あんど回路
おあ回路
回目",かい,"回:and, turn, go around; revolve, rotate, spin, gyra....
あんど回路(あんどかいろ):AND circuit
おあ回路(おあかいろ):OR circuit
回目(かいめ):-nth time",Jouyou. JLPT : N3
"園
sample words:
園地
花園
公園でびゅ",えん,"園:garden, park
園地(えんち):park; garden
花園(かえん):flower garden
公園でびゅ(こうえんでびゅ):bringing one's child to the local park to play fo.",Jouyou. JLPT : N3
"市
sample words:
互市
自治都市
市部",し,"市:market; fair
互市(ごし):commerce; trade
自治都市(じちとし):commune (of medieval Europe); autonomous city
市部(しぶ):urban areas",Jouyou. JLPT : N3
"弱
sample words:
弱体化
弱変化動詞
弱起",じゃく,"弱:weaken, be emaciated; be dejected; be perplexed. ..
弱体化(じゃくたいか):weakening
弱変化動詞(じゃくへんかどうし):weak verb
弱起(じゃっき):anacrusis",Jouyou. JLPT : N3
"才
sample words:
才取り
才取り棒
如才がない",さい,"才:ability, talent, aptitude, genius, acumen, intell..
才取り(さいとり):assistant who hands things up a ladder (to a plas...
才取り棒(さいとりぼう):pole used to hand things up a ladder
如才がない(じょさいがない):tactful; affable; clever; adroit; shrewd; smart",Jouyou. JLPT : N3
"数
sample words:
あんぺあ数
加数
指数化",すう,"数:number, figure. count, calculate, enumerate
あんぺあ数(あんぺあすう):amperage
加数(かすう):addend
指数化(しすうか):indexation",Jouyou. JLPT : N3
"点
sample words:
あくせす点
きゅり点
区切り点",てん,"点:point; mark; score, run; speck; stain; defect; a ..
あくせす点(あくせすてん):access point
きゅり点(きゅりてん):Curie point
区切り点(くぎりてん):breakpoint",Jouyou. JLPT : N3
"番
sample words:
ぜろ番目
地番
泊まり番",ばん,"番:watch, guard; duty; number; order; size, game, ro.
ぜろ番目(ぜろばんめ):zeroth
地番(ちばん):lot number
泊まり番(とまりばん):night duty",Jouyou. JLPT : N3
"直
sample words:
死後硬直
直示
直巻き",ちょく,"直:be mended; get well; be restored; return to norma.....
死後硬直(しごこうちょく):rigor mortis
直示(ちょくじ):deixis
直巻き(ちょくまき):series-wound",Jouyou. JLPT : N3
"直
sample words:
直訴
直積み出し
直弟子",じき,"直:be mended; get well; be restored; return to norma.....
直訴(じきそ):direct appeal
直積み出し(じきつみだし):immediate shipment
直弟子(じきでし):personal pupil",Jouyou. JLPT : N3
"科
sample words:
亜科
いのしし科
外科医",か,"科:course, branch, department, faculty, school, coll.
亜科(あか):subfamily
いのしし科(いのししか):Suidae (pig family)
外科医(げかい):surgeon",Jouyou. JLPT : N3
"絵
sample words:
絵ぐらふ
絵素
江戸絵図",え,"絵:picture, drawing, painting, sketch, illustration,.
絵ぐらふ(えぐらふ):pictograph
絵素(えそ):pixel
江戸絵図(えどえず):map of Edo",Jouyou. JLPT : N3
"門
sample words:
意味部門
さびす部門
師門",もん,"門:gate, door
意味部門(いみぶもん):semantic component
さびす部門(さびすぶもん):service sector; tertiary sector
師門(しもん):tutelage",Jouyou. JLPT : N3
"頭
sample words:
指頭
でたの先頭
頭字語",とう,"頭:head; brain, mind, intellect; leader; top; head (..
指頭(しとう):fingertip
でたの先頭(でたのせんとう):beginning of data
頭字語(とうじご):initialism; acronym",Jouyou. JLPT : N3
"顔
sample words:
顔面骨
厚顔無恥
破顔",がん,"顔:face, countenance, expression; honor, prestige
顔面骨(がんめんこつ):facial bone
厚顔無恥(こうがんむち):brazen and unscrupulous; shameless
破顔(はがん):giving a broad smile",Jouyou. JLPT : N3
"両
sample words:
両がかり
両切り
両手をつく",りょう,"両:old Japanese coin; both; two; vehicle counter
両がかり(りょうがかり):double corner approach
両切り(りょうぎり):plain cigarette
両手をつく(りょうてをつく):to place both hands on the ground (to express res.",Jouyou. JLPT : N3
"他
sample words:
其の他
他地
那由他",た,"他:some other place; outside; the rest
其の他(そのた):the rest; and the like; other than that; and othe..
他地(たち):another place
那由他(なゆた):an extremely great number (often said to be 100 m.",Jouyou. JLPT : N3
