Question,Answer,Comment,Instruction,Render as
"埼,||さい||","cape, used for the name of prefecture, 'Saitama'","",Guess the meaning of the Kunyomi reading,Text
"岡,||おか||","hill, knoll, rising ground","",Guess the meaning of the Kunyomi reading,Text
"崎,||さき||","cape, spit, promontory","",Guess the meaning of the Kunyomi reading,Text
"栃,||とち||","horse chestnut","",Guess the meaning of the Kunyomi reading,Text
"梨,||なし||","pear, pear tree","",Guess the meaning of the Kunyomi reading,Text
"潟,||かた||","lagoon","",Guess the meaning of the Kunyomi reading,Text
"熊,||くま||","bear","",Guess the meaning of the Kunyomi reading,Text
"茨,||いばら||","thorn, brier","",Guess the meaning of the Kunyomi reading,Text
"鹿,||しか,か||","deer","",Guess the meaning of the Kunyomi reading,Text
"衣,||ころも||","clothes, robe, dressing, frosting, coating","Onyomi: イ = garment",Guess the meaning of the Kunyomi reading,Text
"位,||くらい||","grade, rank, court order, dignity, nobility, situation, throne, crown","Onyomi: イ = rank, place, grade",Guess the meaning of the Kunyomi reading,Text
"印,||しるし||","sign, mark, symbol, emblem, badge, evidence, souvenir, token, brand, trademark, signs, indications, omen, seal","Onyomi: イン = seal, stamp, mark",Guess the meaning of the Kunyomi reading,Text
"栄,||さかえる,はえ,はえる||","prosper, flourish, thrive, glory, shine, be brilliant, look attractive","Onyomi: エイ = prosperity, glory, splendor, honor",Guess the meaning of the Kunyomi reading,Text
"塩,||しお||","salt, seasoning","Onyomi: エン = salt",Guess the meaning of the Kunyomi reading,Text
"加,||くわえる,くわわる||","join in, accede to, gain in (influence), increase, add, sum up, append, include, inflict","Onyomi: カ = addition, increase",Guess the meaning of the Kunyomi reading,Text
"果,||はたす,はてる,はて||","carry out, achieve, complete, realize, perform, fulfill, end, be finished, be exhausted, die, perish, limit, bounds, extremity, result, fate","Onyomi: カ = fruit, reward",Guess the meaning of the Kunyomi reading,Text
"芽,||め||","sprout, spear, germ","Onyomi: ガ = sprout, spear, germ",Guess the meaning of the Kunyomi reading,Text
"改,||あらためる,あらたまる||","change, modify, convert, renew, renovate, reform, mend, rectify, amend, revise, improve, examine, inspect, search, be renewed, be renovated, be modified, be revised, be improved, be reformed, be ","Onyomi: カイ = change, modify, convert, renew, renovate, reform, mend, rectify, amend, revise, improve, examine, inspect, search",Guess the meaning of the Kunyomi reading,Text
"街,||まち||","town, quarters, street","Onyomi: ガイ,カイ = street, avenue, town",Guess the meaning of the Kunyomi reading,Text
"各,||おのおの||","each, every, either, respectively","Onyomi: カク = each",Guess the meaning of the Kunyomi reading,Text
"覚,||おぼえる,さます,さめる||","remember, memorize, learn, perceive, feel, experience, know, expect, awake, wake up, be disillusioned, sober up","Onyomi: カク = remember, memorize, learn, perceive, feel, experience, know, expect",Guess the meaning of the Kunyomi reading,Text
"関,||せき,かかわる||","concern oneself in, have to do with, affect, influence, stick to (opinions), barrier, checking station","Onyomi: カン = barrier, gateway",Guess the meaning of the Kunyomi reading,Text
"管,||くだ||","pipe, tube, drunken talk","Onyomi: カン = pipe, tube, (brush) holder, wind instrument",Guess the meaning of the Kunyomi reading,Text
"願,||ねがう||","desire, wish, hope, beg, implore","Onyomi: ガン = prayer, petition, vow",Guess the meaning of the Kunyomi reading,Text
"器,||うつわ||","vessel, receptacle, utensil, implement, instrument, capacity, ability","Onyomi: キ = container, utensil, instrument, tool, apparatus, set, ability",Guess the meaning of the Kunyomi reading,Text
"旗,||はた||","flag, banner, standard, ensign, pennant, streamer","Onyomi: キ = flag, banner, standard, ensign, pennant, streamer",Guess the meaning of the Kunyomi reading,Text
"機,||はた||","loom","Onyomi: キ = opportunity, occasion, time, machine, airplane",Guess the meaning of the Kunyomi reading,Text
"泣,||なく||","cry, weep, wail, moan","Onyomi: キュウ = cry, weep, wail, moan",Guess the meaning of the Kunyomi reading,Text
"求,||もとめる||","want, wish for, request, demand, seek, search for, pursue (pleasure), hunt (a job), buy","Onyomi: キュウ = want, wish for, request, demand, seek, search for, pursue (pleasure), hunt (a job), buy",Guess the meaning of the Kunyomi reading,Text
"挙,||あげる,あがる||","celebrate (a ceremony), join (hands in an effort), have (a child), arrest, become prosperous, be captured","Onyomi: キョ = plan, project, behavior, actions, step",Guess the meaning of the Kunyomi reading,Text
"共,||とも||","both, neither (with neg.), all, and, as well as, including, with, together with, plural ending","Onyomi: キョウ = both, neither (with neg.), all, and, as well as, including, with, together with, plural ending",Guess the meaning of the Kunyomi reading,Text
"鏡,||かがみ||","mirror, speculum, barrelhead, round ricecake offering","Onyomi: キョウ = mirror, speculum, barrelhead, round ricecake offering",Guess the meaning of the Kunyomi reading,Text
"競,||きそう,せる||","emulate, compete with, compete, vie, bid, sell at auction","Onyomi: キョウ,ケイ = emulate, compete with",Guess the meaning of the Kunyomi reading,Text
"極,||きわめる,きわまる,きわみ||","terminate, reach an extreme, be in a dilemma, investigate thoroughly, master, carry to extremes, height, acme, extremity","Onyomi: キョク,ゴク = end, highest rank, the poles, (electric) poles",Guess the meaning of the Kunyomi reading,Text
