question,answer,comment,instruction
"畑
sample words:
小麦畑
たばこ畑
田畑",はたけ,"畑:field, farm, plantation, garden; one's specialty
小麦畑(こむぎばたけ):wheat field
たばこ畑(たばこばたけ):tobacco field; tobacco patch
田畑(たはたけ):fields (of rice and other crops)",Jouyou.
"畑
sample words:
田畑
畑打ち
畑地",はた,"畑:field, farm, plantation, garden; one's specialty
田畑(たはた):fields (of rice and other crops)
畑打ち(はたうち):ploughing; plowing
畑地(はたち):farmland",Jouyou.
"丈
sample words:
丈に",だけ,"丈:height, stature, length, measure
丈に(だけに):because ...; precisely because ...; being ...; as....",Jouyou.
"丈
sample words:
有りっ丈
着丈
背丈",たけ,"丈:height, stature, length, measure
有りっ丈(ありったけ):all (that one has); as much as one can; all (that..
着丈(きたけ):dress length
背丈(せたけ):height; stature",Jouyou.
"匂
sample words:
匂い油
匂いがする
匂いたつ",におい,"匂:be fragrant, smell; stink; glow, be bright
匂い油(においあぶら):perfumed hair oil
匂いがする(においがする):to smell; to have a smell; to smell of
匂いたつ(においたつ):to be enveloped in a smell; to be fragrant; to gi.",Jouyou.
"咽
sample words:
咽元思案
咽喉を鳴らす
咽から手が出る",のど,"咽:be choked, be smothered
咽元思案(のどもとじあん):superficial way of thinking; shallow idea; shorts.
咽喉を鳴らす(のどをならす):to purr (of a cat); to make a sound with one's th.
咽から手が出る(のどからてがでる):a hand reaches out from one's throat; (wanting so.",Jouyou.
"唾
sample words:
天を仰ぎて唾す",つばき,"唾:sputum; saliva
天を仰ぎて唾す(てんをあおぎてつばきす):to harm oneself as a result of trying to harm som..",Jouyou.
"唾
sample words:
痰唾
唾く
唾する",つば,"唾:sputum; saliva
痰唾(たんつば):sputum; phlegm
唾く(つばく):to spit
唾する(つばする):to spit",Jouyou.
"喉
sample words:
喉ごし
喉ちんこ
喉ならし",のど,"喉:throat, voice
喉ごし(のどごし):feeling of food or drink going down the throat
喉ちんこ(のどちんこ):uvula
喉ならし(のどならし):purring (of a cat)",Jouyou.
"宛
sample words:
名宛
宛先あどれす",あて,"宛:address (a letter)
名宛(なあて):address (on an envelope)
宛先あどれす(あてさきあどれす):destination address",Jouyou.
"寿
sample words:
寿教室
寿退社
新年の寿",ことぶき,"寿:long life; congratulations
寿教室(ことぶききょうしつ):culture courses for the aged
寿退社(ことぶきたいしゃ):resigning from a company on marriage (of a woman)
新年の寿(しんねんのことぶき):New Years greetings",Jouyou.
"尻
sample words:
お尻拭き
尻毛
尻たぶ",しり,"尻:buttocks, hips; rear or back of a person; bottom(.
お尻拭き(おしりふき):wet wipes; baby wipes
尻毛(しりけ):buttock hair
尻たぶ(しりたぶ):buttock",Jouyou.
"崖
sample words:
石崖
崖上
崖崩れ",がけ,"崖:cliff, bluff, precipice
石崖(いしがけ):stone wall
崖上(がけうえ):cliff top
崖崩れ(がけくずれ):landslip; landslide",Jouyou.
"枕
sample words:
あいす枕
木枕
枕かば",まくら,"枕:pillow
あいす枕(あいすまくら):ice pillow
木枕(きまくら):wooden pillow
枕かば(まくらかば):pillowcase",Jouyou.
"柿
sample words:
あんぽ柿
柿ぴ
ぴ柿",かき,"柿:persimmon
あんぽ柿(あんぽがき):partially dried Japanese persimmon
柿ぴ(かきぴ):mix of peanuts and spicy baked or fried mochi chi.
ぴ柿(ぴかき):mix of peanuts and spicy baked or fried mochi chi.",Jouyou.
"桁
sample words:
桁上げ
桁上げる
桁あふれ",けた,"桁:beam, girder; spar, yard; unit or column(in figur.
桁上げ(けたあげ):carry (of digit, bit, etc.)
桁上げる(けたあげる):to carry (of digit, bit, etc.)
桁あふれ(けたあふれ):overflow",Jouyou.
"爪
sample words:
蹴爪
小爪
爪くらっち",つめ,"爪:nail, claw, talon, hoof; hook, catch; plectrum
蹴爪(けづめ):cockspur; fetlock; spur (of a chicken, pheasant, .
小爪(こづめ):half-moon (of a fingernail)
爪くらっち(つめくらっち):claw clutch",Jouyou.
"瓦
sample words:
瓦毛
瓦家
瓦屋根",かわら,"瓦:tile
瓦毛(かわらげ):buckskin (horse color)
瓦家(かわらや):tile-roofed house
瓦屋根(かわらやね):tiled roof",Jouyou.
