Question,Answer,Comment,Instruction,Render as
"take","利く,乗せる,伴う,乗っ取る,お大事に,下ろす,乗じる,よろしくお願いいたします,取り出す,休む,勝ち越す,代わる,つけ込む,化ける,仕入れる,乗る,受け皿,倒れる,収まる,似る,よろしくお願いします,受ける,任せる,利かせる,受け継ぐ,割り引く,取り上げる,入れる,乗ずる,回る,効く,取り方,図る,占める,取り戻す,出す,付く,執る,取り入れる,取り消す,外す,取り外す,取り込む,出来る,出","利く take effect
乗せる take part;take ride;take board
伴う take
乗っ取る take
お大事に take care yourself
下ろす take
乗じる take advantage
よろしくお願いいたします please take care
取り出す take
休む take
勝ち越す take lead;take lead(points,goals,during match
代わる take place;take
つけ込む take advantage
化ける take form(ref. spirit,fox,raccoon dog,)
仕入れる take
乗る take part;take
受け皿 (group,institution,)take position matter
倒れる take fall
収まる take(post)
似る take
よろしくお願いします please take care
受ける take(test)
任せる (take own course)
利かせる take advantage(influence)
受け継ぐ take
割り引く take(percentage);take face",Guess Vocab related to Keyword,Text
"good","お疲れ様,並べる,下部,中々,上手い,お休みなさい,お休み,お買い得,乙,今一,中中,仲良し,佳作,お疲れさま,世話,お買得,今日は,今晩は,仕方ない,健在,優遇,上機嫌,仲良く,上手,出来る,仕方がない,勿体ない,公益,全く,公益法人,兼ね合い,仕様がない,取り柄,劣る,口利き,力,分別,利口,利益,元気,同然,名案,善戦,善悪,利かせる,名誉,効く,利く,売り場,善隣,喜ばしい,好感,善,","お疲れ様 good work
並べる good
下部 good faithful servant
中々 very good
上手い good(deal,idea,);good
お休みなさい good night
お休み good night
お買い得 good buy
乙 good job
今一 very good
中中 very good
仲良し good friend
佳作 good piece work
お疲れさま good work
世話 good offices
お買得 good buy
今日は good;good afternoon
今晩は good evening
仕方ない good
健在 good health
優遇 good treatment
上機嫌 good mood;good humour(humor)
仲良く good terms
上手 good
出来る good
仕方がない good
勿体ない too good
公益 public good
全く good grief
公益法人 juridical(legal)working public good
兼ね合い good balance
仕様がない good
取り柄 good point
劣る less go",Guess Vocab related to Keyword,Text
"work","世界観,一段落,仕事始め,仕事,お疲れさま,お疲れ様,仕事中,お茶,働かせる,事,作,作業,事務,ご苦労さま,偉業,伝道,働きかける,二人前,作品,作業環境,作る,ご苦労様,出,働き,兼ねる,人工,努める,佳作,制作,休暇,励む,働く,出品,人為,労作,利く,営み,作風,労,先輩,力作,代表作,効く,労働,大ざっぱ,働き掛ける,動く,共著,努力,作者,勤務,大作,大雑把,創る,勤め先,務める,","世界観 setting(fictional work)
一段落 completing first stage(work)
仕事始め resuming work New Year's vacation
仕事 work
お疲れさま thank(your hard work);good work
お疲れ様 good work;thank(your hard work)
仕事中 midst work;work
お茶 tea break(work)
働かせる work;put work
事 work
作 work(art)
作業 work
事務 clerical work;office work
ご苦労さま thank(your hard work)
偉業 great work
伝道 missionary work
働きかける work;begin work
二人前 (work)two
作品 work(book,film,composition,)
作業環境 work environment
作る create(artistic work,)
ご苦労様 thank(your hard work)
出 attending(work)
働き work
兼ねる work two more jobs ",Guess Vocab related to Keyword,Text
"place","他,伏せる,一段落,乗り場,お代わり,一番手,ふる里,乗せる,会場,位,仕事場,乗場,事業所,代わる,下がり,住み心地,伺う,何処,全体,停留所,付ける,併せる,位置,個所,位置付ける,余所,勤め先,切り,先,信じる,出来,出身地,余地,信ずる,原産,収める,区切り,元来,各地,所,原産地,分,収まる,名所,土地,切り捨てる,同地,据える,土地柄,園,回る,営業所,外,古里,回廊,落とす,地,","他 some other place;another place
伏せる place hiding(troops ambush)
一段落 reaching stopping place
乗り場 place boarding vehicles
お代わり command dog place second paw hand
一番手 first place
ふる里 native place
乗せる place
会場 meeting place
位 decimal place;(decimal)place;place(first place)
仕事場 place where works
乗場 place boarding vehicles
事業所 place business
代わる take place
下がり leaving(master's place home)
住み心地 comfort(living place)
伺う call place
何処 what place
全体 first place
停留所 stopping place
付ける place(under guard doctor)
併せる place together
位置 place
個所 place
位置付ける pl",Guess Vocab related to Keyword,Text
"way","中,仕方,ある意味では,かけ離れる,作法,たどり着く,ある意味で,どの様に,仕様,分ける,勇退,仕様がない,先導,やり方,乱立,中道,何とか,如何,寄り道,何かと,取り方,先,仕方ない,仕方がない,利用方法,実は,有様,使い方,口利き,具合,他方,使い道,向こう,導く,格,使途,合,出口,何ら,塞ぐ,失敬,工夫,横道,口ぶり,因みに,反転,勝手,寄る,心掛け,式,脇,回り,天の川,同じく,回る","中 middle way
仕方 way
ある意味では some way
かけ離れる long way
作法 way making
たどり着く find way
ある意味で some way
どの様に what way
仕様 way
分ける push way through(crowd)
勇退 resigning post(way others)
仕様がない there's(other)way
先導 leading way
やり方 way
乱立 standing close together disorderly way(building
中道 middle way
何とか way another
如何 what way
寄り道 going long way round;dropping way
何かと way another
取り方 way taking(photographs)
先 (way)ahead
仕方ない there's(other)way
仕方がない there's(other)way
利用方法 way using
実は way
有様 way things should
使い方 way use;way treating;way handling(employees,su
",Guess Vocab related to Keyword,Text
"come","ご免,ご免ください,そう言えば,下がる,下る,一人前,下りる,倒れる,上がる,付いて来る,やって来る,休する,付いている,上げる,傾く,参る,何処までも,出合う,何,入る,付いてくる,上る,出る,及ぶ,思い付く,受け止める,剥がれる,割り切る,働く,付いてる,出会う,取れる,止まる,回る,差し掛かる,割れる,反る,伝わる,剥ける,名乗り出る,気がつく,対,来る,寄る,取り組む,入り込む,剥げる","ご免 may come in?
ご免ください may come in?
そう言えば come think
下がる come
下る come
一人前 has come age
下りる come
倒れる come
上がる come ashore;come
付いて来る come along
やって来る come along;come around
休する come end
付いている come
上げる (tide)come
傾く come around(opinion,)
参る come
何処までも come hell water
出合う come across
何 come on!
入る come;come;come under(heading)
付いてくる come along
上る come(agenda)
出る come forth;come
及ぶ come
思い付く come mind
受け止める come grips
剥がれる come;come unstuck
割り切る come clean decision
働く come play
付いてる come
出会う come across
取れる come(dust);come(button,handle,lid,);come(",Guess Vocab related to Keyword,Text
"end","お仕舞い,了,お歳暮,二百二十日,先,下す,丘,中,仕舞う,切り口,上がり,切り,号令,両端,尻尾,仕上がり,名残,引き延ばす,世紀末,収まり,大詰め,休する,尾,先端,寿命,挙句,以上,外れ,宛,切れ目,幕,始末,打ち切り,放課後,何処までも,始終,小口,幕切れ,所詮,尽きる,止める,明ける,区切り,成る,尻,年内,打ち出す,引き伸す,段落,月内,吸い殻,揚句,巻末,当て,暮れ,引き延す,決","お仕舞い end
了 end
お歳暮 year end;end year
二百二十日 end storm
先 end
下す end stopping
丘 bonus points awarded winner end game
中 end
仕舞う end;put end
切り口 cut end
上がり end result(crafts);end
切り end act(jōruri kabuki);end
号令 ritual bowing start end class
両端 either end
尻尾 tail end
仕上がり end
名残 end
引き延ばす delay(end meeting)
世紀末 end century(19th);end world(fiction)
収まり end
大詰め end
休する come end
尾 tail end
先端 pointed end
寿命 end object's(useful)life
挙句 end
以上 end
外れ end
宛 end
切れ目 end
幕 end(scene);end
始末 end result(usu. bad)
打ち切り end;end play
放課後 (end)
何処までも bitter end
",Guess Vocab related to Keyword,Text
"put","並び替える,付ける,並びかえる,丸め込む,仕舞う,使う,併せる,創る,伸びる,作る,入る,刈り込む,出す,寄せる,利かせる,反す,作り上げる,刺す,入れる,力む,収める,寝かせる,合わす,固める,働かせる,合わせる,取る,埋める,回す,打つ,含める,塗る,太る,堪える,忍ぶ,寝かす,差す,持ち越す,吹き込む,威張る,潰す,売り出す,整頓,崩す,張る,挟む,吹く,当てる,片付ける,延びる,泊める","並び替える put(things)order
付ける put against;put
並びかえる put(things)order
丸め込む roll put
仕舞う put end;put away;put
使う put use
併せる put blade blade
創る put show emotion
伸びる put
作る put show emotion
入る put(effort,spirit,feeling,)
刈り込む reap(crop)put storage
出す put
寄せる put aside
利かせる put good use;put
反す put
作り上げる put together
刺す put(runner)
入れる put
力む put bold front
収める put;put away
寝かせる put side;put bed
合わす put blade blade
固める put together
働かせる put work
合わせる put blade blade
取る put aside
埋める put cold water(bath)
回す put(arm)around(waist);put(position)
打つ put
含める",Guess Vocab related to Keyword,Text
"part","上部,乗せる,中心部,下方,どの辺,一部分,下部,上,世界各地,乗る,味噌,主として,下町,分,中国,上方,中略,側,大概,内職,主演,前,仕出し,主役,内側,分身,子役,出る,仕手,前略,個所,出場,参戦,本体,峠,南部,前面,割く,先,別れる,小数,腹,弾む,品詞,半ば,単行本,分ける,前文,当方,裂く,成る,定時制,参与,圧巻,前部,北方,振り,裾,異文,山,参画,大役,北部,反る,携わ","上部 top part
乗せる take part
中心部 central part
下方 lower part
どの辺 what part
一部分 part
下部 lower part
上 earlier part;upper part;upper part
世界各地 every part world
乗る take part
味噌 good part
主として most part
下町 low-lying part city(usu. containing shops,facto
分 part
中国 central part country;Chūgoku region(western par
上方 upper part
中略 omission(middle part text)
側 part
大概 most part
内職 part job(carried home)
主演 playing leading part
前 frontal part
仕出し walk-on part(play film)
主役 leading part
内側 inner part
分身 part(else)
子役 child's part
出る take part
仕手 leading part
前",Guess Vocab related to Keyword,Text
"away","亡くなる,下り,上げる,切り捨てる,単身赴任,よそ見,取り寄せる,倒れる,出稼ぎ,仕舞う,収める,即座に,取上げる,一遍に,取れる,去る,刻む,傾く,取り上げる,取り除く,排除,丸める,外す,取りあえず,単身,処分,旅立つ,四捨五入,撤去,収納,大概,取り外す,取る,取り敢えず,明ける,引抜く,流す,家出,失点,只今,奪う,向こう,立ち消え,後片付け,潰す,引き取る,張る,失踪,引き抜く,密航","亡くなる pass away
下り downbound(away Tokyo)
上げる send(away)
切り捨てる cut throw away
単身赴任 (intra-company)job transfer away family
よそ見 looking away
取り寄せる send away
倒れる give away
出稼ぎ working away home(abroad);working away home
仕舞う put away
収める put away
即座に right away
取上げる take away
一遍に right away
取れる away(fever,pain,swelling,)
去る send away;away
刻む tick away
傾く fall away
取り上げる take away
取り除く take away
排除 clearing away
丸める explain away
外す away;slip away
取りあえず right away
単身 away home
処分 throwing away
旅立つ pass away
四捨五入 rounding half away zero
撤去 taking away
",Guess Vocab related to Keyword,Text
