Question,Answer,Comment,Instruction,Render as
"畑,||はた,はたけ||","field, farm, plantation, garden, one's specialty","",Guess the meaning of the Kunyomi reading,Text
"皿,||さら||","dish, a helping, a course","",Guess the meaning of the Kunyomi reading,Text
"箱,||はこ||","box, case, chest, bin, coffer, railway car","",Guess the meaning of the Kunyomi reading,Text
"悪,||わるい||","bad, evil, wrong, immoral, malicious, blamable, injurious, detrimental, malignant, be indisposed, inferior, homely, poor (memory), inclement, unlucy, out of order, unsavory","Onyomi: アク,オ = evil, wrong, vice, wickedness, lawlessness",Guess the meaning of the Kunyomi reading,Text
"安,||やすい||","cheap, inexpensive, peaceful, quiet, gossipy, thoughtless","Onyomi: アン = be rested, feel at ease, be relieved, repose",Guess the meaning of the Kunyomi reading,Text
"暗,||くらい||","dark, gloomy, somber, dim, faint, ignorant","Onyomi: アン = dark",Guess the meaning of the Kunyomi reading,Text
"委,||ゆだねる||","entrust to, devote (oneself) to","Onyomi: イ = entrust to, discard",Guess the meaning of the Kunyomi reading,Text
"育,||そだつ,そだてる,はぐくむ||","be raised, be brought up, grow, grow up, raise, rear, bring up","Onyomi: イク = be raised, be brought up, grow, grow up",Guess the meaning of the Kunyomi reading,Text
"飲,||のむ||","drink, taste, take, swallow, devour, smoke, conceal (a weapon), accept (an idea), despise","Onyomi: イン = drinking, feast",Guess the meaning of the Kunyomi reading,Text
"運,||はこぶ||","transport, carry, progress, advance","Onyomi: ウン = destiny, fate, lot, fortune, luck",Guess the meaning of the Kunyomi reading,Text
"泳,||およぐ||","swim, totter, keep afloat, get along","Onyomi: エイ = swim, totter, keep afloat, get along",Guess the meaning of the Kunyomi reading,Text
"横,||よこ||","side, flank, horizontal direction, width, breadth, beam, woof","Onyomi: オウ = horizontal",Guess the meaning of the Kunyomi reading,Text
"屋,||や||","shop, store, seller, dealer, business","Onyomi: オク = house, roof",Guess the meaning of the Kunyomi reading,Text
"温,||あたたか,あたたかい,あたたまる,あたためる||","warm, heat, warm oneself, sun oneself, get warm, mild, genial, cordial","Onyomi: オン = warm, heat",Guess the meaning of the Kunyomi reading,Text
"荷,||に||","load, baggage, freight, cargo, burden","Onyomi: カ = shoulderpole load",Guess the meaning of the Kunyomi reading,Text
"化,||ばける,ばかす||","bewitch, enchant, confuse, delude, appear in disguise","Onyomi: カ,ケ = influence, bewitch, enchant, confuse, delude",Guess the meaning of the Kunyomi reading,Text
"開,||ひらく,ひらける,あく,あける||","open, unfold, unroll, uncover, unpack, untie, unseal, establish, clear (land), pioneer, clear the way, convene, enlighten ( a country), bloom, differ, have a margin, widen (the space between), be","Onyomi: カイ = opening",Guess the meaning of the Kunyomi reading,Text
"岸,||きし||","bank, shore, coast, brink","Onyomi: ガン = bank, shore, coast, brink",Guess the meaning of the Kunyomi reading,Text
"館,||やかた||","mansion, temporary residence","Onyomi: カン = mansion, large building, hall",Guess the meaning of the Kunyomi reading,Text
"寒,||さむい||","cold, chilly","Onyomi: カン = midwinter, coldest season",Guess the meaning of the Kunyomi reading,Text
