Question,Answer,Comment,Instruction,Render as
一,"ひと","one",Guess the Kunyomi,Image
七,"なな","seven",Guess the Kunyomi,Image
三,"み","three;3",Guess the Kunyomi,Image
上,"うえ,かみ","above;over;up;top;summit;upper part;head (e.g. of a staircase);surface;on (top of);the above (in a piece of writing);earlier part;superior;better;higher (position, rank, etc.);upper (class);elder;older;senior;with respect to ...;in terms of;as far as ... is concerned;when (e.g. drunk);besides ...;in addition to ...;on top of ...;as well as ...;after ...;upon ...;on ...;with (e.g. full awareness);as a result of ...;since ...;now that ...;because ...;honorable;venerable;dear;emperor;sovereign;shog",Guess the Kunyomi,Image
下,"もと,した","under (guidance, supervision, rules, the law, etc.);under (a flag, the sun, etc.);beneath;with (e.g. one blow);on (the promise, condition, assumption, etc. that ...);in (e.g. the name of ...);(someone's) side;(someone's) location,below;down;under;younger (e.g. daughter);bottom;beneath;underneath;just after;right after;inferiority;one's inferior (i.e. one's junior);trade-in;preliminary;preparatory",Guess the Kunyomi,Image
世,"よ","world;society;public;life;lifetime;age;era;period;epoch;generation;reign;rule;the times;world (of existence)",Guess the Kunyomi,Image
中,"なか","inside;interior;among;within;middle;center;centre;during;while;midst;amid;interval;gap;mean;average;second (of three, e.g. sons, volumes);medium grade;medium quality;red-light district",Guess the Kunyomi,Image
主,"おも,ぬし,あるじ","chief;main;principal;important;main secondary or supporting role (in kyogen),head (of a household, etc.);leader;master;owner;proprietor;proprietress;subject (of a rumour, etc.);doer (of a deed);guardian spirit (e.g. long-resident beast, usu. with mystical powers);long-time resident (or employee, etc.);husband;you,head (of a household);proprietor (of a store);proprietress;landlord;landlady;master (of a servant);entertaining someone as one's guest",Guess the Kunyomi,Image
事,"こと","thing;matter;incident;occurrence;event;something serious;trouble;crisis;circumstances;situation;state of affairs;work;business;affair;after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to;nominalizing suffix;pretending to ...;playing make-believe ...;alias;also known as;otherwise known as;or;necessity;need;you should ...;I advise that you ...;it's important to ...",Guess the Kunyomi,Image
人,"ひと","person;someone;somebody;human beings;mankind;man;people;humans;human (Homo sapiens);(other) people;others;character;personality;nature;capable person;competent person;suitable person;right person;adult;grown-up;I;me;one",Guess the Kunyomi,Image
今,"いま","now;the present time;just now;soon;immediately;another;more",Guess the Kunyomi,Image
内,"うち","inside;within;while (e.g. one is young);during;within (e.g. a day);in the course of;among;amongst;(out) of;between;in (secret, chaos, poverty, etc.);amidst;with (e.g. success);within oneself;one's feelings;inner thoughts;we;our company;our organization;one's home;one's family;my spouse;my husband;my wife;signed on behalf of (husband's name) by his wife;I;me;imperial palace grounds;emperor",Guess the Kunyomi,Image
他,"ほか","another place;some other place;somewhere else;another (person or thing);other;different;something else;someone else;the rest;et al.;beyond (one's expectations, imagination, etc.);outside;except;but;other than;apart from;besides;in addition to;as well as;on top of",Guess the Kunyomi,Image
伝,"つて","means of making contact;intermediary;go-between;connections;influence;pull;good offices",Guess the Kunyomi,Image
位,"くらい","throne;crown;(nobleman's) seat;government position;court rank;social standing;class;echelon;rung;grade (of quality, etc.);level;tier;rank;position of a figure (e.g. tens, thousands);digit;(decimal) place",Guess the Kunyomi,Image
体,"からだ","body;torso;trunk;build;physique;frame;figure;health;constitution;corpse;dead body",Guess the Kunyomi,Image
何,"なん,なに","what;some;how many;many;a lot of;several;a few,what;you-know-what;that thing;whatsit;whachamacallit;what's-his-name;what's-her-name;penis;(one's) thing;dick;(not) at all;(not) in the slightest;what?;huh?;hey!;come on!;oh, no (it's fine);why (it's nothing);oh (certainly not)",Guess the Kunyomi,Image
供,"とも","companion;follower;attendant;retinue",Guess the Kunyomi,Image
係,"かかり","charge;duty;person in charge;official;clerk;connection;linking",Guess the Kunyomi,Image
値,"あたい","price;cost;worth;merit;value",Guess the Kunyomi,Image
側,"がわ,そば","side (of something, or taking someone's side);part;(watch) case,near;close;beside;vicinity;proximity;besides;while;third person",Guess the Kunyomi,Image
元,"もと","origin;source;basis;foundation;root;cause;ingredient;material;base;mix;stock;(someone's) side;(someone's) location;original cost (or capital, principal, etc.);(plant) root;(tree) trunk;first section of a waka;counter for blades of grass, tree trunks, etc., and for falcons (in falconry);handle (chopsticks, brush, etc.);grip",Guess the Kunyomi,Image
兄,"あに","older brother;elder brother",Guess the Kunyomi,Image
先,"さき","point;tip;end;nozzle;head (of a line);front;first;before;ahead (of);(the way) ahead;beyond;future;previous;prior;former;recent;last;destination;address;place where you do something;rest (e.g. of a story);continuation;remaining part;the other party",Guess the Kunyomi,Image
光,"ひかり","light;illumination;ray;beam;gleam;glow;happiness;hope;influence;power;vision;eyesight;optical fiber;optical fibre",Guess the Kunyomi,Image
共,"ども,とも","first-person plural (or singular);second or third person plural (implies speaker is of higher status than those referred to),together with;same;both;all;neither;none;including ...",Guess the Kunyomi,Image
冬,"ふゆ","winter",Guess the Kunyomi,Image
出,"で","coming out;going out;outflow;efflux;rising (of the Sun or the Moon);attending (work);appearing (on stage);one's turn to go on;start;beginning;origins;background;person (or item) originating from ...;graduate of ...;native of ...;member of ... (lineage);architectural member that projects outward;highest point of the stern of a ship;amount (comprising something);amount of time or effort required to do something",Guess the Kunyomi,Image
初,"はつ","first;new",Guess the Kunyomi,Image
前,"まえ","in front (of);before (e.g. a building);before;earlier;previously;prior;ago;(minutes) to (the hour);(the) front;frontal part;fore;head (e.g. of a line);forward;ahead;(in the) presence (of);in front (of someone);previous (e.g. page);prior (e.g. engagement);first (e.g. half);former (e.g. example);portion;helping;front (of one's body or clothing);breast (of a coat, kimono, etc.);privates;private parts;criminal record;previous conviction;(a) prior",Guess the Kunyomi,Image
