Question,Answer,Comment,Instruction,Render as
"囲,||かこむ,かこう||","enclose, surround, encircle, besiege, preserve, store, keep","Onyomi: イ = enclosure",Guess the meaning of the Kunyomi reading,Text
"移,||うつる,うつす||","move, change, shift, pass into, drift, soak in, be infected, catch (a cold), catch fire, spread, transfer, pour into, divert(attention), give (a disease to someone)","Onyomi: イ = move, change, shift, pass into, drift, soak in, be infected, catch (a cold), catch fire, spread",Guess the meaning of the Kunyomi reading,Text
"因,||よる||","depend on, be limited to","Onyomi: イン = cause, factor",Guess the meaning of the Kunyomi reading,Text
"営,||いとなむ||","perform (ceremoies), build, conduct (business), follow (a profession), operate  (a store)","Onyomi: エイ = camp, performing",Guess the meaning of the Kunyomi reading,Text
"永,||ながい||","long, lengthy","Onyomi: エイ = long, lengthy",Guess the meaning of the Kunyomi reading,Text
"易,||やさしい||","easy, simple, light, habitual","Onyomi: エキ,イ = easiness, divination, augury, fortunetelling",Guess the meaning of the Kunyomi reading,Text
"桜,||さくら||","flowering cherry, cherry blossoms, pink color, horse meat","Onyomi: オウ = flowering cherry, cherry blossoms, pink color, horse meat",Guess the meaning of the Kunyomi reading,Text
"応,||こたえる||","respond, answer, be affected by (pain or stimulation), be effective","Onyomi: オウ = yes, all right",Guess the meaning of the Kunyomi reading,Text
"過,||すぎる,すごす,あやまつ,あやまち||","pass, go past, elapse, exceed, spend, tide over, go through, live, (eat) too much, err, fault, error, indiscretion","Onyomi: カ = excess, error",Guess the meaning of the Kunyomi reading,Text
"価,||あたい||","price, cost, value, worth","Onyomi: カ = price, cost, value, worth",Guess the meaning of the Kunyomi reading,Text
"河,||かわ||","river, stream","Onyomi: カ = river, stream",Guess the meaning of the Kunyomi reading,Text
"仮,||かり||","tempory, provisional, informal, unauthorized, fleeting, assumed (name), interim, acting, temporarily, provisionally, for example, for argument's sake, even for an instant, even as a joke","Onyomi: カ,ケ = (Buddhist) vanity",Guess the meaning of the Kunyomi reading,Text
"快,||こころよい||","pleasant, agreeable, comfortable, refreshing, delightful, well (from illness)","Onyomi: カイ = pleasure, enjoyment",Guess the meaning of the Kunyomi reading,Text
"解,||とく,とかす,とける||","untie, undo, loosen, unpack, unravel, disentangle, unsew, dismantle, solve, answer, dispel, cancel, absolve, release, dismiss (a person), explain, comb out, get loose, come untied, relent, be sol","Onyomi: カイ,ゲ = explanation, notes, key, excuse, understanding",Guess the meaning of the Kunyomi reading,Text
"確,||たしか,たしかめる||","ascertain, confirm, verify, sure, positive, accurate, reliable, sound, firm, clear, evident, genuine, able, competent, sober, sane, I think, if I remember right, certainly, doubtless, for certain","Onyomi: カク = firm, tight, hard, solid",Guess the meaning of the Kunyomi reading,Text
