Question,Answer,Comment,Instruction,Render as
"引,||ひく,ひける||","draw, pull, haul, tug, jerk, drag, trail, bend, attract, lead (horses or captives), draw (lines), admit, install (utilities), quote, refer to, look up (words), subtract, reduce, apply, daub on, b","Onyomi: イン = draw, pull, haul, tug, jerk, drag, trail, bend, attract, lead (horses or captives), draw (lines), admit, install (utilities), quote, refer to, look up (words), subtract, reduce, apply, daub on, blunt (a sword), patronize, choose, draw (a line), catch (a cold), retreat, withdraw, retire, subside",Guess the meaning of the Kunyomi reading,Text
"羽,||は,はね||","feather, plumage, wing, blade, paddle, fan","Onyomi: ウ = feather",Guess the meaning of the Kunyomi reading,Text
"雲,||くも||","cloud","Onyomi: ウン = cloud",Guess the meaning of the Kunyomi reading,Text
"園,||その||","garden, park","Onyomi: エン = garden, yard, plantation, farm",Guess the meaning of the Kunyomi reading,Text
"遠,||とおい||","far, distant, remote, hard (of hearing)","Onyomi: エン,オン = far, distant, remote, hard (of hearing)",Guess the meaning of the Kunyomi reading,Text
"歌,||うた,うたう||","sing, recite, chant, carol, poem, tanka, ballad, poetry, singing","Onyomi: カ = sing, recite, chant, carol",Guess the meaning of the Kunyomi reading,Text
"何,||なに,なん||","what","Onyomi: カ = what",Guess the meaning of the Kunyomi reading,Text
"家,||いえ,や||","house, home, residence, housing, family, household, family name, fortune, shop, store, seller, dealer","Onyomi: カ,ケ = house",Guess the meaning of the Kunyomi reading,Text
"夏,||なつ||","summer","Onyomi: カ,ゲ = summer",Guess the meaning of the Kunyomi reading,Text
"海,||うみ||","sea, ocean","Onyomi: カイ = sea, ocean",Guess the meaning of the Kunyomi reading,Text
"会,||あう||","meet, interview","Onyomi: カイ,エ = Buddhist ceremony, understanding, meeting, assembly, party, association, club",Guess the meaning of the Kunyomi reading,Text
"回,||まわる,まわす||","and, turn, go around, revolve, rotate, spin, gyrate, patrol, tour, take effect (medicine), be distributed, be past (time), be transferred, circularize, pass around, forward, transmit, refer to, t","Onyomi: カイ,エ = time, round, game, bout, heat, inning, innings, go around",Guess the meaning of the Kunyomi reading,Text
"外,||そと,ほか,はずす,はずれる||","outside, exterior, open air, some other place, outside, the rest, take off, remove, unfasten, undo, detach, disconnect, put out off gear, miss, fail, avoid, evade, dodge, be off, come off, be or ","Onyomi: ガイ,ゲ = outside, without, beside, beyond the scope off",Guess the meaning of the Kunyomi reading,Text
"角,||かど,つの||","corner, angle, edge, angularity, harshness, horn, feeler, tentacle","Onyomi: カク = angle, corner, square, squared timber, target",Guess the meaning of the Kunyomi reading,Text
"楽,||たのしい,たのしむ||","enjoy, amuse oneself, anticipate, merry, pleasant, cheerful, joyful","Onyomi: ガク,ラク = music, comfort, ease, relief, pleasure, concluding program",Guess the meaning of the Kunyomi reading,Text
"顔,||かお||","face, countenance, expression, honor, prestige","Onyomi: ガン = face, countenance",Guess the meaning of the Kunyomi reading,Text
"丸,||まる,まるい,まるめる||","full (month), perfection, purity, the shipname suffix anciently used after the name of a sword or a child, make round, round off, roll up, curl up, seduce, cajole, explain away, round, circular, ","Onyomi: ガン = full (month), perfection, purity, the shipname suffix anciently used after the name of a sword or a child",Guess the meaning of the Kunyomi reading,Text
"岩,||いわ||","rock, crag, reef","Onyomi: ガン = rock, crag, reef",Guess the meaning of the Kunyomi reading,Text
"間,||あいだ,ま||","space, interval, gap, between, among, midway, on the way, distance, time, period, relationship, room, pause, rest (in music), a while, leisure, luck, timing, harmony","Onyomi: カン,ケン = interval, space, between, among, discord, favorable opportunity, six feet",Guess the meaning of the Kunyomi reading,Text
"記,||しるす||","write down, inscribe, mention, give an account of","Onyomi: キ = account, narrative, history, annals, remembering, writing, the Kojiki",Guess the meaning of the Kunyomi reading,Text
"帰,||かえる,かえす||","return, take one's leave, come again, come around (time), send (someone) back","Onyomi: キ = return, take one's leave, come again, come around (time)",Guess the meaning of the Kunyomi reading,Text
"牛,||うし||","cattle, cow, bull, ox","Onyomi: ギュウ = beef, cow",Guess the meaning of the Kunyomi reading,Text
"弓,||ゆみ||","bow, archery, violin bow, bow shape","Onyomi: キュウ = bow, violin bow",Guess the meaning of the Kunyomi reading,Text
"魚,||うお,さかな||","fish","Onyomi: ギョ = fish",Guess the meaning of the Kunyomi reading,Text
"教,||おしえる,おそわる||","teach, give lessons, inform, coach, learn, be taught, take lessons in","Onyomi: キョウ = faith",Guess the meaning of the Kunyomi reading,Text
