question,answer,comment,instruction
"刀
sample words:
おっとり刀
刀掛け
刀を打つ",かたな,"刀:sword, blade
おっとり刀(おっとりがたな):rushing to an emergency with sword in hand, not h...
刀掛け(かたなかけ):sword rack
刀を打つ(かたなをうつ):to forge a sword; to temper a sword",Jouyou. JLPT : N1
"弓
sample words:
弓師
弓なり
弓形になる",ゆみ,"弓:bow; archery; violin bow; bow shape
弓師(ゆみし):bowyer; bow maker
弓なり(ゆみなり):segment (of a circle); arch; arc; bow shape
弓形になる(ゆみなりになる):to bend backward; to arch; to be curved; to becom.",Jouyou. JLPT : N1
"矢
sample words:
掛け矢
根矢
無理矢理",や,"矢:arrow
掛け矢(かけや):mallet
根矢(ねや):arrowhead
無理矢理(むりやり):by force; against one's will; forcibly",Jouyou. JLPT : N1
"笛
sample words:
口笛を吹く
喉笛
薔薇笛鯛",ふえ,"笛:flute, pipe, clarinet, whistle, fife, pitch pipe,.
口笛を吹く(くちぶえをふく):to whistle
喉笛(のどぶえ):windpipe
薔薇笛鯛(ばらふえだい):two-spot red snapper (Lutjanus bohar)",Jouyou. JLPT : N1
"羊
sample words:
子羊
羊飼い
羊小屋",ひつじ,"羊:sheep
子羊(こひつじ):lamb
羊飼い(ひつじかい):shepherd; shepherdess
羊小屋(ひつじごや):sheepfold",Jouyou. JLPT : N1
"詩
sample words:
悪魔の詩
漢詩",うた,"詩:poem, poetry
悪魔の詩(あくまのうた):The Satanic Verses (novel by Salman Rushdie)
漢詩(からうた):Chinese poem",Jouyou. JLPT : N1
"豆
sample words:
かかお豆
からばる豆
こひ豆",まめ,"豆:beans, peas, pulse
かかお豆(かかおまめ):cocoa bean; cacao bean
からばる豆(からばるまめ):ordeal bean; calabar bean
こひ豆(こひまめ):coffee bean",Jouyou. JLPT : N1
"倉
sample words:
小倉あいす
お倉入り
倉入れ",くら,"倉:warehouse, godown; cellar; depository, treasury; .
小倉あいす(おぐらあいす):ice cream mixed with adzuki bean paste
お倉入り(おくらいり):being put on hold; being withheld from publicatio..
倉入れ(くらいれ):warehousing; storing in a warehouse",Jouyou. JLPT : N1
"器
sample words:
器が大きい
器の大きい
器物",うつわ,"器:vessel, receptacle, utensil, implement, instrumen.
器が大きい(うつわがおおきい):big; open-minded; mature; accepting; big-hearted;.
器の大きい(うつわのおおきい):accepting; open-minded; flexible; mature; big-hea.
器物(うつわもの):implement; ability; talent; container; calibre; p..",Jouyou. JLPT : N1
"士
sample words:
地士
西向く士",さむらい,"士:samurai; man, gentleman; scholar
地士(じざむらい):provincial samurai in the middle ages, who engage.
西向く士(にしむくさむらい):nishimuku samurai (mnemonic for remembering the m.",Jouyou. JLPT : N1
"巣
sample words:
巣引き
巣雛
巣雛",す,"巣:nest, rookery, breeding place, beehive, cobweb; d.
巣引き(すびき):setting (of a hen)
巣雛(すひな):nestling
巣雛(すびな):nestling",Jouyou. JLPT : N1
"旗
sample words:
小旗
旗日
旗振り",はた,"旗:flag, banner, standard, ensign, pennant, streamer
小旗(こばた):small flag
旗日(はたび):national holiday
旗振り(はたふり):leader; flagman; flagwaving; (in athletic competi.",Jouyou. JLPT : N1
"松
sample words:
あめりか松
男松
下がり松",まつ,"松:pine
あめりか松(あめりかまつ):common Douglas fir (Pseudotsuga menziesii)
男松(おまつ):black pine
下がり松(さがりまつ):drooping pine",Jouyou. JLPT : N1
"梅
sample words:
梅しそ
梅の実
梅見",うめ,"梅:plum, plum tree
梅しそ(うめしそ):Japanese apricot and shiso
梅の実(うめのみ):Japanese apricot; ume
梅見(うめみ):plum-blossom viewing",Jouyou. JLPT : N1
"腸
sample words:
海鼠腸
背腸
腸香",わた,"腸:intestines, bowels, entrails; digestive system in.
海鼠腸(このわた):salted entrails of a trepang; salted entrails of .
背腸(せわた):digestive tract of a shrimp; vein of a shrimp (pr.
腸香(わたか):Ischikauia steenackeri (species of cyprinid fish)",Jouyou. JLPT : N1
"腸
sample words:
腸の腐った
腸が煮え繰り返る",はらわた,"腸:intestines, bowels, entrails; digestive system in.
腸の腐った(はらわたのくさった):vicious; corrupt; depraved
腸が煮え繰り返る(はらわたがにえくりかえる):to be furious; to have one's blood boiling; to se.",Jouyou. JLPT : N1
"芽
sample words:
御芽出度う
花芽
葉芽",め,"芽:sprout, spear, germ
御芽出度う(おめでとう):congratulations!; best wishes!; all the best!; we.
花芽(はなめ):flower bud
葉芽(はめ):leaf bud",Jouyou. JLPT : N1
"街
sample words:
眠らない街
街着
街こん",まち,"街:town; quarters; street
眠らない街(ねむらないまち):city that never sleeps
街着(まちぎ):townwear; street clothes
街こん(まちこん):group dating; gathering for young people to socia.",Jouyou. JLPT : N1
"郡
sample words:
郡の司
郡造
郡山女子大学",こおり,"郡:county, district
郡の司(こおりのつかさ):district governor (under the ritsuryo system)
郡造(こおりのみやつこ):director of a district (ritsuryo system)
郡山女子大学(こおりやまじょしだいがく):Kooriyama Women's University",Jouyou. JLPT : N1
"鏡
sample words:
柄鏡
鏡獅子
鏡立て",かがみ,"鏡:mirror; speculum; barrelhead; round rice-cake off.
柄鏡(えかがみ):traditional mirror with a handle, popular since t.
鏡獅子(かがみじし):Kagamijishi
鏡立て(かがみたて):mirror stand",Jouyou. JLPT : N1
"俵
sample words:
上げ俵
米俵
炭俵",たわら,"俵:bag, bale, sack; bag counter
上げ俵(あげだわら):4 corner bales on the outer rim of the sumo ring
米俵(こめだわら):bag of rice
炭俵(すみだわら):sack for charcoal",Jouyou. JLPT : N1
"墓
sample words:
墓荒らし
墓じまい
墓場",はか,"墓:grave, tomb
墓荒らし(はかあらし):grave-robbing
墓じまい(はかじまい):dismantling a (family) tomb
墓場(はかば):cemetery; graveyard",Jouyou. JLPT : N1
"序
sample words:
事の序で
序でが有る
序に",ついで,"序:beginning; preface; order, precedence; farewell a.
事の序で(ことのついで):take the opportunity to (do something else)
序でが有る(ついでがある):to have occasion to do
序に(ついでに):when; while (one is at it); on one's way (to); by..",Jouyou. JLPT : N1
"桜
sample words:
小桜いんこ
桜咲く
桜の木",さくら,"桜:flowering cherry; cherry blossoms; pink color; ho.
小桜いんこ(こざくらいんこ):rosy-faced lovebird (Agapornis roseicollis)
桜咲く(さくらさく):to pass an exam
桜の木(さくらのき):cherry tree",Jouyou. JLPT : N1
"眼
sample words:
金壺眼
血眼
団栗眼",まなこ,"眼:eye
金壺眼(かなつぼまなこ):greedy look; goggle-eyes; round, sunken eyes
血眼(ちまなこ):(doing something in a) frenzy; bloodshot eyes
団栗眼(どんぐりまなこ):goggle-eyes",Jouyou. JLPT : N1
"眼
sample words:
青眼狗母魚
血眼
眼がさえる",め,"眼:eye
青眼狗母魚(あおめえそ):Chlorophthalmus albatrossis (species of greeneye)
血眼(ちめ):bloodshot eyes; (doing something in a) frenzy
眼がさえる(めがさえる):to be wakeful; to be unable to sleep; to be wide-.",Jouyou. JLPT : N1
"素
sample words:
味の素
素牛
素より",もと,"素:principle; element. naked, uncovered, simple
味の素(あじのもと):Ajinomoto Co. Inc.; brand name of monosodium glut.
素牛(もとうし):calf (before it is fattened or used for breeding,.
素より(もとより):from the beginning; not to mention ...; all along..",Jouyou. JLPT : N1
"織
sample words:
浮き織り
織りあげる
織り子",おり,"織:weave
浮き織り(うきおり):brocade
織りあげる(おりあげる):to weave up into fabric
織り子(おりこ):weaver",Jouyou. JLPT : N1
"肥
sample words:
草肥
肥土
肥え太る",こえ,"肥:get fat; get fertile. fertilize, enrich; fatten; ..
草肥(くさごえ):compost
肥土(こえつち):rich soil
肥え太る(こえふとる):to grow fat",Jouyou. JLPT : N1
"舌
sample words:
舌が肥える
舌先
舌代",した,"舌:tongue; reed; clapper
舌が肥える(したがこえる):to be particular about one's food; to have a disc.
舌先(したさき):tip of tongue
舌代(しただい):a notice",Jouyou. JLPT : N1
"酸
sample words:
甘酸っぱい
黒酸塊
酸っぱい",す,"酸:sour, acid, tart
甘酸っぱい(あまずっぱい):sweet and sour; bittersweet
黒酸塊(くろすぐり):blackcurrant (Ribes nigrum)
酸っぱい(すっぱい):acid; sour",Jouyou. JLPT : N1
"傷
sample words:
傷を縫う
小傷
手傷",きず,"傷:wound, injury, hurt; cut, gash, bruise, scratch; ....
傷を縫う(きずをぬう):to stitch up a wound
小傷(こきず):small amount of damage; small scratch
手傷(てきず):wound (suffered in a fight)",Jouyou. JLPT : N1
"創
sample words:
切創
手創",きず,"創:wound, injury, hurt; cut, gash, bruise, scratch; .
切創(きりきず):gash; cut; incision
手創(てきず):wound (suffered in a fight)",Jouyou. JLPT : N1
"姿
sample words:
絵姿
姿絵
姿を消す",すがた,"姿:figure, form, shape; appearance, attire; posture;.
絵姿(えすがた):portrait
姿絵(すがたえ):portrait
姿を消す(すがたをけす):to disappear; to vanish",Jouyou. JLPT : N1
