Question,Answer,Comment,Instruction,Render as
"届,||とどける,とどく||","reach, arrive, be received, be attentive, be realized,report, notice, forwarding, delivery","",Guess the meaning of the Kunyomi reading,Text
"株,||かぶ||","stump, shares, stocks, connections, business, counter for small plants","",Guess the meaning of the Kunyomi reading,Text
"異,||こと||","differ, vary, be unusual","Onyomi: イ = uncommonness, strangeness, queerness, difference",Guess the meaning of the Kunyomi reading,Text
"映,||うつる,うつす,はえる||","shine, be brilliant, look attractive, be reflected, match, harmonize, be becoming, be taken (a photo), copy, transcribe, duplicate, reproduce, trace, describe, picture, photograph","Onyomi: エイ = reflecting, projection",Guess the meaning of the Kunyomi reading,Text
"沿,||そう||","run along, lie along, be situated on","Onyomi: エン = following along",Guess the meaning of the Kunyomi reading,Text
"延,||のびる,のべる,のばす||","extend, lengthen, stretch, spread, be postponed, increase, grow, progress, develop, be straightened, be flattened, be smoothed, be exhausted, let (nails) grow, straighten, uncoil, spread out, rea","Onyomi: エン = stretching",Guess the meaning of the Kunyomi reading,Text
"我,||われ,わ||","I, oneself, self, ego","Onyomi: ガ = ego, self, selfishness, egotism",Guess the meaning of the Kunyomi reading,Text
"灰,||はい||","ashes","Onyomi: カイ = ashes",Guess the meaning of the Kunyomi reading,Text
"革,||かわ||","skin, hide, leather, fur, pelt, bark, peeling, husk, shell, film, cream","Onyomi: カク = tanned leather",Guess the meaning of the Kunyomi reading,Text
"割,||わる,わり,われる,さく||","divide, break, rate, percentage","Onyomi: カツ = divide, cut, halve, separate, split, rip, break, crack, smash, dilute",Guess the meaning of the Kunyomi reading,Text
"干,||ほす,ひる||","parch, get dry, ebb, recede, dry, desiccate, drain (off), drink up, dry up","Onyomi: カン = parch, get dry, ebb, recede",Guess the meaning of the Kunyomi reading,Text
"巻,||まく,まき||","roll up, wind, coil, tie around, wind up, roll (of silk), volume, book, winding (of a clock)","Onyomi: カン = volume, book, part, reel",Guess the meaning of the Kunyomi reading,Text
"危,||あぶない,あやうい,あやぶむ||","fear, have misgivings, be doubtful, mistrust, dangerous, critical, grave, uncertain, unreliable, limping, narrow, close, watch out","Onyomi: キ = be afraid of, feel uneasy about, shrink from",Guess the meaning of the Kunyomi reading,Text
"机,||つくえ||","desk, table","Onyomi: キ = desk, table",Guess the meaning of the Kunyomi reading,Text
"疑,||うたがう||","doubt, distrust, be suspicious of","Onyomi: ギ = doubt, distrust, be suspicious of",Guess the meaning of the Kunyomi reading,Text
"貴,||たっとい,とうとい,たっとぶ,とうとぶ||","value, prize, esteem, respect, honor, revere, valuable, precious, noble, exalted, venerable","Onyomi: キ = value, prize, esteem, respect, honor, revere",Guess the meaning of the Kunyomi reading,Text
"吸,||すう||","inhale, imbibe, sip, suck, suck out","Onyomi: キュウ = inhale, imbibe, sip, suck, suck out",Guess the meaning of the Kunyomi reading,Text
"胸,||むね,むな||","chest, breast, bosom, heart, mind, feelings","Onyomi: キョウ = chest, breast, bosom, heart, mind, feelings",Guess the meaning of the Kunyomi reading,Text
"供,||そなえる,とも||","offer, sacrifice, dedicte, attendant, companion, retinue","Onyomi: キョウ,ク = offer, present, submit, serve (a meal), supply",Guess the meaning of the Kunyomi reading,Text
"筋,||すじ||","muscle, sinew, tendon, vein, fiber, string, line, stripe, streak, plot, plan, reason, logic, circumstances, thread, sequence, quarters, sources, authorities, lineage, strain, stock, descent, grai","Onyomi: キン = muscle, sinew, tendon",Guess the meaning of the Kunyomi reading,Text
"勤,||つとめる,つとまる||","be fit for, be equal to, function properly, serve, fill a post, serve under, exert oneself, endeavor, work, be diligent, play (the part of)","Onyomi: キン,ゴン = be fit for, be equal to, function properly",Guess the meaning of the Kunyomi reading,Text
"敬,||うやまう||","respect, honor, revere, venerate","Onyomi: ケイ = respect, honor, revere",Guess the meaning of the Kunyomi reading,Text
"激,||はげしい||","violent, vehement, furious, severe, acute, intense, extreme, passionate, heated, stormy (applause), tempestuous (temperament), mighty","Onyomi: ゲキ = get excited, be agitated, be enraged, be exasperated, chafe, urge, encourage, incite",Guess the meaning of the Kunyomi reading,Text
"穴,||あな||","hole, aperture, slit, gap, stop (of musical instrument), eyelet, cavity, socket, cave, den, hiding place, pit, fault, defect, deficit, grave, dark horse","Onyomi: ケツ = hole, aperture, slit, gap, stop (of musical instrument), eyelet, cavity, socket, cave, den, hiding place, pit, fault, defect, deficit, grave, dark horse",Guess the meaning of the Kunyomi reading,Text
"絹,||きぬ||","silk, silk thread","Onyomi: ケン = silk, silk thread",Guess the meaning of the Kunyomi reading,Text
"源,||みなもと||","source, origin","Onyomi: ゲン = source, origin",Guess the meaning of the Kunyomi reading,Text
"厳,||おごそか,きびしい||","austere, majestic, severe, strict","Onyomi: ゲン,ゴン = strictness, severity",Guess the meaning of the Kunyomi reading,Text
"呼,||よぶ||","call, call out to, invoke, summon, invite, attract, send for, name, designate, bring about","Onyomi: コ = call, call out to, invoke, summon, invite, attract, send for, name, designate, bring about",Guess the meaning of the Kunyomi reading,Text
"誤,||あやまる||","err, be mistaken, do wrong, mislead","Onyomi: ゴ = err, be mistaken, do wrong, mislead",Guess the meaning of the Kunyomi reading,Text
"己,||おのれ||","oneself, myself, yourself","Onyomi: コ,キ = sixth",Guess the meaning of the Kunyomi reading,Text
