question,answer,comment,instruction
"線
sample words:
緯線
えっくす線
かなる線",せん,"線:line; track, route, wire
緯線(いせん):parallel
えっくす線(えっくすせん):X-ray
かなる線(かなるせん):canal ray",Jouyou. JLPT : N2
"角
sample words:
あじます角
角度
角皮",かく,"角:corner, angle; edge; angularity; harshness; horn,.
あじます角(あじますかく):azimuth angle
角度(かくど):angle
角皮(かくひ):cuticle",Jouyou. JLPT : N2
"倍
sample words:
げのむ倍加
五倍
五倍子",ばい,"倍:double, twice; times, -fold
げのむ倍加(げのむばいか):genome doubling
五倍(ごばい):quintuple; fivefold; five times (as much)
五倍子(ごばいし):sumac gallnut",Jouyou. JLPT : N2
"州
sample words:
亜州
あめりか州
華州",しゅう,"州:sandbar, shallows
亜州(あしゅう):Asia
あめりか州(あめりかしゅう):the Americas
華州(かしゅう):Washington (state)",Jouyou. JLPT : N2
"拾
sample words:
拾壱
拾萬",じゅう,"拾:pick up, gather; find; set (type); go on foot
拾壱(じゅういち):eleven; 11; jack
拾萬(じゅうまん):hundred thousand; 100,000",Jouyou. JLPT : N2
"秒
sample words:
ぜぷと秒
ぴこ秒
秒で",びょう,"秒:one-sixteenth of a minute (of time, latitude, deg.
ぜぷと秒(ぜぷとびょう):zeptosecond
ぴこ秒(ぴこびょう):picosecond
秒で(びょうで):in an instant; right away; immediately; in a flas.",Jouyou. JLPT : N2
"章
sample words:
旗章学
権利章典
章立て",しょう,"章:chapter; composition; poem; badge, mark, sign; de.
旗章学(きしょうがく):vexillology
権利章典(けんりしょうてん):Bill of Rights
章立て(しょうだて):arrangement of chapters; dividing into chapters",Jouyou. JLPT : N2
"筆
sample words:
古筆
古筆家
刀筆の吏",ひつ,"筆:writing brush, paintbrush; writing, drawing, pain..
古筆(こひつ):old writing
古筆家(こひつか):expert in old writing
刀筆の吏(とうひつのり):minor official",Jouyou. JLPT : N2
"農
sample words:
乾地農法
農家所得
農機具",のう,"農:agriculture; farmers
乾地農法(かんちのうほう):dry farming
農家所得(のうかしょとく):farm income
農機具(のうきぐ):agricultural machinery and equipment",Jouyou. JLPT : N2
"鉄
sample words:
くろむ鉄鉱
地鉄
鉄火打ち",てつ,"鉄:iron, steel; reddish black, iron blue
くろむ鉄鉱(くろむてっこう):chromite
地鉄(じてつ):ferrite
鉄火打ち(てっかうち):gambler",Jouyou. JLPT : N2
"階
sample words:
位階
階差
地下二階",かい,"階:stair, staircase; round; step; grade; story, floo.
位階(いかい):court rank
階差(かいさ):difference
地下二階(ちかにかい):second basement level; subbasement",Jouyou. JLPT : N2
"令
sample words:
威令
家令
司令部",れい,"令:order, command; ordinance, law, decree
威令(いれい):authority
家令(かれい):steward; butler
司令部(しれいぶ):headquarters",Jouyou. JLPT : N2
"億
sample words:
一億総懺悔
一億総中流
億しょん",おく,"億:100000000
一億総懺悔(いちおくそうざんげ):national confession of Japanese war guilt (1945)
一億総中流(いちおくそうちゅうりゅう):all-Japanese-are-middle-class mentality
億しょん(おくしょん):luxury apartment; apartment worth 100 million yen.",Jouyou. JLPT : N2
"兆
sample words:
卦兆
前兆現象
予兆",ちょう,"兆:show a signs or symptoms of. signs, omen, symptom.
卦兆(かちょう):divination signs
前兆現象(ぜんちょうげんしょう):premonitory phenomena; precursor; advance warning.
予兆(よちょう):notice; sign; indication; omen",Jouyou. JLPT : N2
"兵
sample words:
げりら兵
兵器庫
兵士",へい,"兵:soldier, private; troops, army; warfare; arms; st.
げりら兵(げりらへい):guerrilla
兵器庫(へいきこ):armory; armoury
兵士(へいし):soldier",Jouyou. JLPT : N2
